timestamp,license_plate,confidence,vehicle_type,speed,violations
2025-03-29 19:44:09.796,CSSU,0.17,Car,2.5,Lane Crossing
2025-03-29 19:44:09.796,NAIJNRU,0.24,Car,2.7,Lane Crossing
2025-03-29 19:44:09.796,NAIJNRU,0.24,Car,3.6,Lane Crossing
2025-03-29 19:44:10.623,DHSINSW,0.06,Unknown,0.0,None
2025-03-29 19:44:10.623,NAJWRO;,0.05,Unknown,0.0,None
2025-03-29 19:44:10.623,DHSINSW,0.06,Car,2.3,Lane Crossing
2025-03-29 19:44:10.623,NAJWRO;,0.05,Car,2.8,Lane Crossing
2025-03-29 19:44:10.623,NAJWRO;,0.05,Car,3.6,Lane Crossing
2025-03-29 19:44:11.275,HVSIVSU,0.16,Unknown,0.0,None
2025-03-29 19:44:11.275,HAIJNRU,0.23,Unknown,0.0,None
2025-03-29 19:44:11.275,HVSIVSU,0.16,Car,2.5,Lane Crossing
2025-03-29 19:44:11.275,HAIJNRU,0.23,Car,3.2,Lane Crossing
2025-03-29 19:44:11.275,HAIJNRU,0.23,Car,4.0,Lane Crossing
2025-03-29 19:44:11.975,DMSVSW,0.18,Unknown,0.0,None
2025-03-29 19:44:11.975,NAIJNRU,0.11,Unknown,0.0,None
2025-03-29 19:44:11.975,DMSVSW,0.18,Car,2.6,Lane Crossing
2025-03-29 19:44:11.975,NAIJNRU,0.11,Car,3.2,Lane Crossing
2025-03-29 19:44:11.975,NAIJNRU,0.11,Car,3.7,Lane Crossing
2025-03-29 19:44:12.672,MSWW,0.17,Unknown,0.0,None
2025-03-29 19:44:12.672,ENZNI,0.12,Unknown,0.0,None
2025-03-29 19:44:12.672,EUZIRU,0.42,Unknown,0.0,None
2025-03-29 19:44:12.672,MSWW,0.17,Car,2.7,Lane Crossing
2025-03-29 19:44:12.672,ENZNI,0.12,Car,3.3,Lane Crossing
2025-03-29 19:44:12.672,EUZIRU,0.42,Car,3.3,Lane Crossing
2025-03-29 19:44:12.672,ENZNI,0.12,Car,3.8,Lane Crossing
2025-03-29 19:44:12.672,EUZIRU,0.42,Car,3.8,Lane Crossing
2025-03-29 19:44:13.554,LSSU,0.13,Unknown,0.0,None
2025-03-29 19:44:13.554,WNARUE,0.15,Unknown,0.0,None
2025-03-29 19:44:13.554,LSSU,0.13,Car,2.8,Lane Crossing
2025-03-29 19:44:13.554,WNARUE,0.15,Car,3.2,Lane Crossing
2025-03-29 19:44:13.554,WNARUE,0.15,Car,3.8,Lane Crossing
2025-03-29 19:44:14.170,HRSSU,0.14,Unknown,0.0,None
2025-03-29 19:44:14.170,WAINRUF,0.31,Unknown,0.0,None
2025-03-29 19:44:14.170,HRSSU,0.14,Car,2.9,Lane Crossing
2025-03-29 19:44:14.170,WAINRUF,0.31,Car,3.6,Lane Crossing
2025-03-29 19:44:14.170,WAINRUF,0.31,Car,3.7,Lane Crossing
2025-03-29 19:44:14.852,LISU,0.11,Unknown,0.0,None
2025-03-29 19:44:14.852,NAIJNRU,0.18,Unknown,0.0,None
2025-03-29 19:44:14.852,LISU,0.11,Car,2.9,Lane Crossing
2025-03-29 19:44:14.852,NAIJNRU,0.18,Car,3.8,Lane Crossing
2025-03-29 19:44:14.852,NAIJNRU,0.18,Car,4.0,Lane Crossing
2025-03-29 19:44:15.612,HSISU,0.67,Unknown,0.0,None
2025-03-29 19:44:15.612,MANRU,0.14,Unknown,0.0,None
2025-03-29 19:44:15.612,HSISU,0.67,Car,3.7,Lane Crossing
2025-03-29 19:44:15.612,MANRU,0.14,Car,3.8,Lane Crossing
2025-03-29 19:44:15.612,MANRU,0.14,Car,4.1,Lane Crossing
2025-03-29 19:44:16.354,NIJNRU,0.74,Unknown,0.0,None
2025-03-29 19:44:16.354,HSVSU,0.27,Unknown,0.0,None
2025-03-29 19:44:16.354,HSVSU,0.27,Car,3.6,Lane Crossing
2025-03-29 19:44:16.354,NIJNRU,0.74,Car,3.8,Lane Crossing
2025-03-29 19:44:16.354,NIJNRU,0.74,Car,4.0,Lane Crossing
2025-03-29 19:44:17.150,WUSU,0.18,Unknown,0.0,None
2025-03-29 19:44:17.150,NAIJNRU,0.31,Unknown,0.0,None
2025-03-29 19:44:17.150,WUSU,0.18,Car,3.3,Lane Crossing
2025-03-29 19:44:17.150,NAIJNRU,0.31,Car,3.9,Lane Crossing
2025-03-29 19:44:17.150,NAIJNRU,0.31,Car,3.8,Lane Crossing
2025-03-29 19:44:18.064,WSSU,0.38,Unknown,0.0,None
2025-03-29 19:44:18.064,FHWADINRUZ,0.08,Unknown,0.0,None
2025-03-29 19:44:18.064,WSSU,0.38,Car,3.0,Lane Crossing
2025-03-29 19:44:18.064,FHWADINRUZ,0.08,Car,3.7,Lane Crossing
2025-03-29 19:44:18.064,FHWADINRUZ,0.08,Car,3.7,Lane Crossing
2025-03-29 19:44:18.888,MSASW,0.12,Unknown,0.0,None
2025-03-29 19:44:18.888,'ETAIJNRU;,0.30,Unknown,0.0,None
2025-03-29 19:44:18.888,MSASW,0.12,Car,2.9,Lane Crossing
2025-03-29 19:44:18.888,'ETAIJNRU;,0.30,Car,3.4,Lane Crossing
2025-03-29 19:44:18.888,'ETAIJNRU;,0.30,Car,3.4,Lane Crossing
2025-03-29 23:37:44.649,MVSIYSU,0.11,Unknown,0.0,None
2025-03-29 23:37:44.649,NAI3NRU,0.35,Unknown,0.0,None
2025-03-29 23:37:44.649,MVSIYSU,0.11,Car,0.0,None
2025-03-29 23:37:44.649,NAI3NRU,0.35,Car,0.0,None
2025-03-29 23:37:44.649,NAI3NRU,0.35,Car,0.0,None
2025-03-29 23:37:48.953,HMSEW,0.15,Unknown,0.0,None
2025-03-29 23:37:48.953,NAIJHRU,0.06,Unknown,0.0,None
2025-03-29 23:37:48.953,HMSEW,0.15,Car,0.5,Lane Crossing
2025-03-29 23:37:48.953,NAIJHRU,0.06,Car,0.3,Lane Crossing
2025-03-29 23:37:48.953,NAIJHRU,0.06,Car,0.6,Lane Crossing
2025-03-29 23:37:49.643,NAI3NRU,0.48,Unknown,0.0,None
2025-03-29 23:37:49.643,[IHSIGM,0.04,Unknown,0.0,None
2025-03-29 23:37:49.643,[IHSIGM,0.04,Car,1.2,Lane Crossing
2025-03-29 23:37:49.643,NAI3NRU,0.48,Car,1.1,Lane Crossing
2025-03-29 23:37:49.643,NAI3NRU,0.48,Car,1.2,Lane Crossing
2025-03-29 23:37:50.304,WESU,0.10,Unknown,0.0,None
2025-03-29 23:37:50.304,@IIZNRWF,0.06,Unknown,0.0,None
2025-03-29 23:37:50.304,WESU,0.10,Car,1.5,Lane Crossing
2025-03-29 23:37:50.304,@IIZNRWF,0.06,Car,1.6,Lane Crossing
2025-03-29 23:37:50.304,@IIZNRWF,0.06,Car,2.1,Lane Crossing
2025-03-29 23:37:51.052,JOSW,0.14,Unknown,0.0,None
2025-03-29 23:37:51.052,NAIJNRU,0.20,Unknown,0.0,None
2025-03-29 23:37:51.052,JOSW,0.14,Car,1.5,Lane Crossing
2025-03-29 23:37:51.052,NAIJNRU,0.20,Car,1.6,Lane Crossing
2025-03-29 23:37:51.052,NAIJNRU,0.20,Car,2.7,Lane Crossing
2025-03-29 23:37:51.527,WEISU,0.20,Unknown,0.0,None
2025-03-29 23:37:51.527,ETNIIRW,0.02,Unknown,0.0,None
2025-03-29 23:37:51.527,WEISU,0.20,Car,1.7,Lane Crossing
2025-03-29 23:37:51.527,ETNIIRW,0.02,Car,1.7,Lane Crossing
2025-03-29 23:37:51.527,ETNIIRW,0.02,Car,3.3,Lane Crossing
2025-03-29 23:37:52.086,WSISU,0.42,Unknown,0.0,None
2025-03-29 23:37:52.086,NAJNRU,0.54,Unknown,0.0,None
2025-03-29 23:37:52.086,WSISU,0.42,Car,2.7,Lane Crossing
2025-03-29 23:37:52.086,NAJNRU,0.54,Car,2.5,Lane Crossing
2025-03-29 23:37:52.086,NAJNRU,0.54,Car,4.1,Lane Crossing
2025-03-29 23:37:52.704,MIVSU,0.30,Unknown,0.0,None
2025-03-29 23:37:52.704,LEAANAOT,0.04,Unknown,0.0,None
2025-03-29 23:37:52.704,MIVSU,0.30,Car,3.3,Lane Crossing
2025-03-29 23:37:52.704,LEAANAOT,0.04,Car,2.7,Lane Crossing
2025-03-29 23:37:52.704,LEAANAOT,0.04,Car,4.0,Lane Crossing
2025-03-29 23:37:53.254,SOMSISUC,0.01,Unknown,0.0,None
2025-03-29 23:37:53.254,NAIJNRU,0.25,Unknown,0.0,None
2025-03-29 23:37:53.254,SOMSISUC,0.01,Car,3.5,Lane Crossing
